family_id	final_status	n	total_n	prop
OG0000347	A	13	715	0.01818181818181818
OG0000347	F	38	715	0.05314685314685315
OG0000347	P	74	715	0.1034965034965035
OG0000347	U	590	715	0.8251748251748252
OG0000348	A	8	98	0.08163265306122448
OG0000348	F	11	98	0.11224489795918367
OG0000348	P	31	98	0.3163265306122449
OG0000348	U	48	98	0.4897959183673469
OG0000360	A	6	152	0.039473684210526314
OG0000360	F	3	152	0.019736842105263157
OG0000360	P	78	152	0.5131578947368421
OG0000360	U	65	152	0.4276315789473684
OG0000361	F	45	247	0.18218623481781376
OG0000361	P	121	247	0.4898785425101215
OG0000361	U	81	247	0.32793522267206476
OG0000367	F	5	96	0.052083333333333336
OG0000367	P	64	96	0.6666666666666666
OG0000367	U	27	96	0.28125
OG0000372	P	55	108	0.5092592592592593
OG0000372	U	53	108	0.49074074074074076
OG0000375	U	23	23	1.0
OG0000382	A	31	170	0.18235294117647058
OG0000382	F	5	170	0.029411764705882353
OG0000382	P	37	170	0.21764705882352942
OG0000382	U	97	170	0.5705882352941176
OG0000384	A	78	695	0.11223021582733812
OG0000384	P	581	695	0.8359712230215828
OG0000384	U	36	695	0.051798561151079135
OG0000385	A	20	20	1.0
OG0000386	A	38	230	0.16521739130434782
OG0000386	P	124	230	0.5391304347826087
OG0000386	U	68	230	0.2956521739130435
OG0000388	A	21	201	0.1044776119402985
OG0000388	F	1	201	0.004975124378109453
OG0000388	P	155	201	0.7711442786069652
OG0000388	U	24	201	0.11940298507462686
OG0000402	F	1	99	0.010101010101010102
OG0000402	P	85	99	0.8585858585858586
OG0000402	U	13	99	0.13131313131313133
OG0000418	A	25	67	0.373134328358209
OG0000418	P	20	67	0.29850746268656714
OG0000418	U	22	67	0.3283582089552239
OG0000419	A	1	66	0.015151515151515152
OG0000419	F	4	66	0.06060606060606061
OG0000419	P	27	66	0.4090909090909091
OG0000419	U	34	66	0.5151515151515151
OG0000422	A	15	148	0.10135135135135136
OG0000422	F	7	148	0.0472972972972973
OG0000422	P	43	148	0.2905405405405405
OG0000422	U	83	148	0.5608108108108109
