"gene","assembly","group","window","repeat_class","n_te_class"
"AL2G17720","73_3a","Family","pm1kb","LTR/unknown",2
"AL2G17820","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G17820","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G17830","73_3a","Family","pm1kb","DNA/MULE-MuDR",2
"AL2G17830","73_3a","Family","pm1kb","LTR/unknown",2
"AL2G18220","73_3a","Family","pm1kb","DNA/Helitron",3
"AL2G18220","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G18240","73_3a","Family","pm1kb","DNA/Helitron",3
"AL2G18240","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G18420","73_3a","Family","pm1kb","LTR/Ty3",5
"AL2G18450","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G19370","73_3a","Family","pm1kb","LINE/unknown",2
"AL2G19370","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G20020","73_3a","Family","pm1kb","LINE/L1",1
"AL2G20200","73_3a","Family","pm1kb","LINE/L1",1
"AL2G21240","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G21890","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G23340","73_3a","Family","pm1kb","LTR/Ty3",5
"AL2G24600","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G25510","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G27190","73_3a","Family","pm1kb","LTR/Ty3",2
"AL2G29250","73_3a","Family","pm1kb","LTR/Gypsy",2
"AL2G29250","73_3a","Family","pm1kb","LTR/Ty3",1
"AL2G31040","73_3a","Family","pm1kb","DNA/Helitron",3
"AL2G31040","73_3a","Family","pm1kb","SINE/tRNA",1
"AL2G32480","73_3a","Family","pm1kb","SINE/tRNA",3
"AL2G38250","73_3a","Family","pm1kb","DNA/MULE-MuDR",3
"AL2G40380","73_3a","Family","pm1kb","LTR/Copia",2
"AL320U10010","73_3a","Family","pm1kb","LINE/L1",1
"AL34U10020","73_3a","Family","pm1kb","DNA/Helitron",1
"AL34U10030","73_3a","Family","pm1kb","DNA/Helitron",5
"AL3G10790","73_3a","Family","pm1kb","DNA/Helitron",2
"AL3G13350","73_3a","Family","pm1kb","LTR/Copia",3
"AL3G14930","73_3a","Family","pm1kb","LTR/Copia",1
"AL3G16600","73_3a","Family","pm1kb","SINE/tRNA",1
"AL3G20250","73_3a","Family","pm1kb","DNA/Helitron",3
