"og","gene","pseu"
"OG0000016","AL2G13130","AL2G13130_NT12_v2_scaffold_2_copy_3"
"OG0000016","AL2G13130","AL2G13130_NT8_v2_fix_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_PU6_v3_fin_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_PU6_v3_fin_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_TE11_v2_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_TE8_v1_scaffold_2_copy_3"
"OG0000016","AL2G13130","AL2G13130_WS1_v2_s_scaffold_2_copy_2"
"OG0000016","AL2G13140","AL2G13140_73_3a_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_AL08_v2_f_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_AL08_v2_f_scaffold_2_copy_2"
"OG0000016","AL2G13140","AL2G13140_al1_v2_s_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_ALR_scaffold_2_copy_2"
"OG0000016","AL2G13140","AL2G13140_BAM12_v2_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_F1-14_scaffold_2_copy_2"
"OG0000016","AL2G13140","AL2G13140_KN003hexa_v0_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_KN005_v1_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_KN006_v1_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_MN47_mabs_v3_scaffold_2_copy_2"
"OG0000016","AL2G13140","AL2G13140_Nla_scaffold_2_copy_1"
"OG0000016","AL2G13140","AL2G13140_Nla_scaffold_2_copy_2"
"OG0000016","AL2G13140","AL2G13140_TE8_v1_scaffold_2_copy_1"
"OG0000016","AL2G13150","AL2G13150_KN005_v1_scaffold_2_copy_2"
"OG0000016","AL2G13150","AL2G13150_NT8_v2_fix_scaffold_2_copy_1"
"OG0000016","AL2G13170","AL2G13170_ALR_scaffold_2_copy_1"
"OG0000016","AL2G13170","AL2G13170_F1-14_scaffold_2_copy_2"
"OG0000016","AL2G13170","AL2G13170_MN47_mabs_v3_scaffold_2_copy_1"
"OG0000016","AL2G13170","AL2G13170_NT12_v2_scaffold_2_copy_2"
"OG0000016","AL2G13280","AL2G13280_AL08_v2_f_scaffold_2_copy_1"
"OG0000016","AL2G13280","AL2G13280_al1_v2_s_scaffold_2_copy_1"
"OG0000016","AL2G13280","AL2G13280_NT8_v2_fix_scaffold_2_copy_1"
"OG0000016","AL2G13280","AL2G13280_PU6_v3_fin_scaffold_2_copy_1"
"OG0000016","AL2G18840","AL2G18840_AL08_v2_f_scaffold_2_copy_2"
"OG0000016","AL2G18840","AL2G18840_KN003hexa_v0_scaffold_2_copy_1"
"OG0000016","AL2G18840","AL2G18840_KN005_v1_scaffold_2_copy_1"
"OG0000016","AL2G18840","AL2G18840_KN006_v1_scaffold_2_copy_1"
"OG0000016","AL2G18840","AL2G18840_MN47_mabs_v3_scaffold_2_copy_1"
"OG0000016","AL3G29642","AL3G29642_al1_v2_s_scaffold_3_copy_1"
"OG0000016","AL3G36780","AL3G36780_AL27_v1_scaffold_3_copy_1"
"OG0000016","AL3G36780","AL3G36780_WS1_v2_s_scaffold_3_copy_1"
"OG0000016","AL6G27650",NA
"OG0000016","AL7G48260",NA
"OG0000093","AL3G36200",NA
"OG0000093","AL3G36220","AL3G36220_KN003hexa_v0_scaffold_3_copy_1"
"OG0000093","AL3G36220","AL3G36220_KN005_v1_scaffold_3_copy_1"
"OG0000093","AL3G36220","AL3G36220_KN006_v1_scaffold_3_copy_1"
"OG0000093","AL3G36220","AL3G36220_MN47_mabs_v3_scaffold_3_copy_1"
"OG0000093","AL3G38320",NA
"OG0000126","AL1G17600","AL1G17600_F1-14_scaffold_1_copy_1"
"OG0000126","AL41U1005",NA
"OG0000126","AL41U1006","AL41U10060_TE11_v2_scaffold_4_copy_1"
"OG0000126","AL41U1006","AL41U10060_TE4_v1_scaffold_4_copy_1"
"OG0000126","AL4G23710",NA
"OG0000126","AL4G23730","AL4G23730_PU6_v3_fin_scaffold_4_copy_1"
"OG0000126","AL4G23850","AL4G23850_NT1_v2_scaffold_4_copy_1"
"OG0000126","AL4G23850","AL4G23850_TE4_v1_scaffold_4_copy_1"
