family_id	species	n_assemblies	max_copy	min_copy	median_copy	mean_copy	sd_copy	var_copy	cv	dispersion
OG0000147	AT	133	9	6	8	7.79699248120301	0.472892429568331	0.223627249943039	0.0606506201857165	0.0286812191344495
OG0000150	AL	21	12	11	12	11.7142857142857	0.462910049886276	0.214285714285714	0.0395167115756577	0.0182926829268293
OG0000150	AT	133	8	6	8	7.41353383458647	0.862763526266403	0.744360902255638	0.116376824536949	0.100405679513185
OG0000158	AL	21	1	1	1	1	0	0	0	0
OG0000158	AT	133	1	1	1	1	0	0	0	0
OG0000159	AL	21	11	6	7	7.85714285714286	1.27615493909299	1.62857142857143	0.162419719520926	0.207272727272727
OG0000159	AT	133	2	1	2	1.97744360902256	0.149045722775883	0.0222146274777853	0.0753729320501613	0.0112340131351538
OG0000164	AL	21	9	7	8	8.14285714285714	0.478091443733757	0.228571428571429	0.0587129843181807	0.0280701754385965
OG0000164	AT	133	7	6	7	6.96992481203007	0.171439963166726	0.0293916609706084	0.0245971036690125	0.00421692654702364
OG0000166	AL	21	24	9	20	19.4761904761905	3.24990842361824	10.5619047619048	0.16686571368211	0.542298288508558
OG0000166	AT	133	2	2	2	2	0	0	0	0
OG0000167	AL	21	7	6	7	6.85714285714286	0.358568582800318	0.128571428571429	0.0522912516583797	0.01875
OG0000167	AT	133	5	5	5	5	0	0	0	0
OG0000170	AL	21	304	129	150	170.857142857143	54.7085785908259	2993.02857142857	0.32020071081587	17.5177257525084
OG0000170	AT	133	4	1	3	2.52631578947368	0.917662935482247	0.842105263157895	0.36324157862839	0.333333333333333
OG0000182	AL	21	27	16	20	19.3333333333333	2.92118697336089	8.53333333333333	0.15109587793246	0.441379310344828
OG0000182	AT	133	5	4	5	4.86466165413534	0.343377936655941	0.117908407382091	0.07058619099728	0.0242377406210481
OG0000184	AL	21	17	11	15	14.9047619047619	1.60949563232591	2.59047619047619	0.107985329964358	0.173801916932907
OG0000184	AT	133	16	6	12	11.6842105263158	2.16153852702832	4.67224880382775	0.184996540601523	0.39987714987715
OG0000185	AL	21	7	3	6	5.95238095238095	1.02353263143832	1.04761904761905	0.171953482081637	0.176
OG0000185	AT	133	6	2	4	4.14285714285714	0.750180353495453	0.562770562770563	0.181078016360971	0.135841170323929
OG0000186	AL	21	2	1	2	1.76190476190476	0.436435780471985	0.19047619047619	0.247706794321937	0.108108108108108
OG0000186	AT	133	3	2	3	2.68421052631579	0.466586915035449	0.217703349282297	0.173826497758304	0.0811051693404637
OG0000188	AL	21	20	15	18	17.6190476190476	1.59612626305661	2.54761904761905	0.0905909500653749	0.144594594594595
OG0000188	AT	133	4	4	4	4	0	0	0	0
OG0000192	AL	21	2	1	2	1.9047619047619	0.300792603759119	0.0904761904761905	0.157916116973538	0.0475
OG0000192	AT	133	3	2	3	2.94736842105263	0.224141103882712	0.0502392344497607	0.0760478745316345	0.0170454545454545
OG0000196	AL	21	4	3	4	3.9047619047619	0.300792603759119	0.0904761904761905	0.0770322521822134	0.0231707317073171
OG0000196	AT	133	8	6	7	7.03759398496241	0.258375315384247	0.066757803599909	0.0367135864808812	0.00948588448588451
OG0000199	AL	21	21	14	17	17.6666666666667	2.00831604418561	4.03333333333333	0.113678266652016	0.228301886792453
