"accession","assembly","sample_name","location","latitude","longitude","pop_name","ID","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"GCA_036940645.1","ASM3694064v1","ASM3694064v1","Portugal",32.75,-17.13,"Rab-R1",55,13.2500000000001,18.45,9.65000000000003,3040.2,542.9,20.9,63.2,1328.8,121.4,207.7,1031.5,2.9,0.215000009536743,359.4,21.55,8.05000000000001,13.5,10.55,18.2500000000001
"GCA_036940715.1","ASM3694071v1","ASM3694071v1","Sweden",59.34,18.06,"St-0",56,6.55000000000001,15.85,-1.84999999999997,586.7,69.3,30.4,26.7,193.5,96.8,193.5,124.1,5.3,0.208999991416931,691.9,20.65,-4.84999999999997,25.5,15.85,0.850000000000023
"GCA_036940825.1","ASM3694082v1","ASM3694082v1","Russia",52.84,36.92,"Stw-0",57,5.85000000000002,18.05,-6.44999999999999,673.7,85.4,34.3,26.8,233.2,119.3,233.2,140,7.2,0.214000010490418,962.5,23.45,-10.35,33.8,18.05,-0.649999999999977
"GCA_036940995.1","ASM3694099v1","ASM3694099v1","Tanzania",-2.87,36.12,"Tanz-1",58,24.2500000000001,25.85,21.95,551.3,140.6,1.5,88.9,279.1,6.2,171.1,7.4,11.2,0.684000015258789,154.7,31.95,15.55,16.4,24.7500000000001,22.55
"GCA_036941165.1","ASM3694116v1","ASM3694116v1","Morocco",34.09,-4.1,"Taz-0",59,13.45,21.65,6.35000000000002,829.7,152.1,4.3,71.1,393.9,20.7,20.7,382.5,11.5,0.388000011444092,605.3,29.95,0.250000000000057,29.7,7.25000000000006,21.65
"GCA_036941295.1","ASM3694129v1","ASM3694129v1","Belarus",53.92,27.57,"ws-4",60,6.25000000000006,16.95,-4.64999999999998,681.2,89.9,36.2,30.5,248.2,119.2,248.2,129.4,6.8,0.226999998092651,846.4,22.05,-7.94999999999999,30,16.95,0.450000000000045
"GCA_036941465.1","ASM3694146v1","ASM3694146v1","Morocco",35.45,-5.43,"Zin9",61,17.45,23.45,12.15,696.5,130.7,1.8,70.3,326.4,13.8,30.1,300.9,8.8,0.390000009536743,443.1,29.7500000000001,7.25000000000006,22.5,13.05,23.15
"GCA_036941635.1","ASM3694163v1","ASM3694163v1","France",44.59,-1.24,"PYL-1",62,14.35,20.35,8.65000000000003,930.7,118.9,45.2,29.3,330.2,152.6,176.8,280.7,4.6,0.261999988555908,461.7,23.55,6.15000000000003,17.4,12.15,20.2500000000001
"GCA_036941785.1","ASM3694178v1","ASM3694178v1","Italy",40.18,16.45,"Valsi-1",63,16.55,25.15,8.95000000000005,636.7,86.1,29.6,32.1,231.2,97,97,196.7,8.9,0.325999999046326,638.1,31.65,4.25000000000006,27.4,13.55,25.15
"GCA_036941915.1","ASM3694191v1","ASM3694191v1","Turkey",38.3,42.22,"Dog-4",64,10.2500000000001,22.7500000000001,-2.24999999999994,1177.6,173.6,6.4,64.3,501.6,30.8,45.4,421.1,10.6,0.280999994277954,978.7,29.7500000000001,-7.84999999999997,37.6,2.85000000000002,22.55
"GCA_036941985.1","ASM3694198v1","ASM3694198v1","Turkey",38.64,42.24,"Nemrut-1",65,5.75000000000006,17.35,-5.74999999999994,1375.7,214.1,9.1,60.2,560.7,46.2,71.1,427.8,8.7,0.252999997138977,912.3,23.7500000000001,-10.45,34.2,-1.44999999999999,17.35
"GCA_036942075.1","ASM3694207v1","ASM3694207v1","Morocco",31.47,-7.42,"Toufl-1",66,12.2500000000001,19.85,5.45000000000005,670.8,81.2,26.5,24.8,220.7,115.7,115.7,176,12.7,0.43600001335144,559.7,27.85,-1.34999999999997,29.2,8.45000000000005,19.85
"GCA_036942405.1","ASM3694240v1","ASM3694240v1","Portugal",32.74,-16.93,"Are-1",67,11.85,17.85,7.75000000000006,2506.3,429.1,21.7,60.7,1072.8,117.1,190.9,1028.3,3.7,0.225,413.3,22.15,5.95000000000005,16.2,8.65000000000003,17.7500000000001
"GCA_036942435.1","ASM3694243v1","ASM3694243v1","Poland",52.74,15.24,"Col-0",68,9.15000000000003,18.15,0.350000000000023,594.8,75.5,34.7,24,203,115.5,203,124.6,7.2,0.276999998092651,693.1,23.45,-2.64999999999998,26.1,18.15,4.55000000000001
"GCA_036942445.1","ASM3694244v1","ASM3694244v1","Spain",41.68,2.79,"Bla-1",69,15.95,23.15,9.45000000000005,639.5,89.2,24.8,28.8,219.2,111.4,143,143.4,7.2,0.319000005722046,539.2,27.85,5.35000000000002,22.5,17.15,23.05
"GCA_036942575.1","ASM3694257v1","ASM3694257v1","Portugal",15.06,-23.73,"Cvi-0",70,23.35,25.2500000000001,21.2500000000001,270.2,104.8,0.5,161.9,236.6,1.7,236.6,8.3,4.4,0.526000022888184,152.3,27.55,19.15,8.4,25.2500000000001,22.2500000000001
"GCA_036942965.1","ASM3694296v1","ASM3694296v1","Morocco",34.09,-4.2,"Ita-0",71,11.85,20.15,4.95000000000005,1216.9,231.3,5.6,73.5,593,27.9,46.9,572.7,11.5,0.389000010490417,600.7,28.2500000000001,-1.24999999999994,29.5,5.85000000000002,20.05
"GCA_036942975.1","ASM3694297v1","ASM3694297v1","Kazakhstan",49.5,73.1,"KZ9",72,3.45000000000005,18.85,-12.55,370.7,49.2,21.6,28.4,134.1,70.1,117.3,72.9,10.2,0.241000008583069,1230.5,25.2500000000001,-16.95,42.2,17.15,-10.95
